Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,3,233.808,2,Josef Newgarden,Shell Powering Progress Team Penske,Dallara/Chevrolet,167.763,200,26,4288000
2,8,232.723,5,Patricio O'Ward,Arrow McLaren,Dallara/Chevrolet,167.758,200,12,1050500
3,21,231.851,9,Scott Dixon,PNC Bank Chip Ganassi Racing,Dallara/Honda,167.749,200,12,835000
4,4,233.09,7,Alexander Rossi,Arrow McLaren,Dallara/Chevrolet,167.745,200,12,688000
5,14,232.306,10,Alex Palou,DHL Chip Ganassi Racing,Dallara/Honda,167.74,200,1,614000
6,1,234.22,3,Scott McLaughlin,Pennzoil Team Penske,Dallara/Chevrolet,167.731,200,64,781500
7,11,232.171,27,Kyle Kirkwood,AutoNation,Dallara/Honda,167.724,200,2,568000
8,6,232.692,14,Santino Ferrucci,Homes For Our Troops,Dallara/Chevrolet,167.707,200,1,568500
9,7,232.788,21,Rinus VeeKay,askROI,Dallara/Chevrolet,167.701,200,8,563500
10,29,231.243,24,Conor Daly,DRR-CUSICK MOTORSPORTS,Dallara/Chevrolet,167.691,200,22,159000
11,15,232.23,6,Callum Ilott,Arrow McLaren,Dallara/Chevrolet,167.686,200,1,538500
12,24,231.682,33,Christian Rasmussen,Ed Carpenter Racing,Dallara/Chevrolet,167.68,200,1,128000
13,28,231.465,45,Christian Lundgaard,Hy-Vee,Dallara/Honda,167.667,200,4,537000
14,10,232.584,75,Takuma Sato,AMADA,Dallara/Honda,167.659,200,0,119500
15,33,229.974,15,Graham Rahal,United Rentals,Dallara/Honda,167.648,200,1,537000
16,23,231.826,41,Sting Ray Robb,Goodheart Vet/Pray.com,Dallara/Chevrolet,167.63,200,23,228300
17,17,232.017,20,Ed Carpenter,Guy Care,Dallara/Chevrolet,167.624,200,3,510500
18,5,232.846,17,Kyle Larson,Hendrickcars.com Arrow McLaren,Dallara/Chevrolet,167.615,200,4,178000
19,26,231.514,77,Romain Grosjean,Juncos Hollinger Racing,Dallara/Chevrolet,167.61,200,0,517500
20,20,231.871,6,Helio Castroneves,Cliffs,Dallara/Honda,167.601,200,0,102000
21,18,231.948,4,Kyffin Simpson,Journie Rewards Chip Ganassi Racing,Dallara/Honda,167.59,200,3,158300
22,22,231.847,78,Agustin Canapino,Juncos Hollinger Racing,Dallara/Chevrolet,166.875,199,0,511000
23,13,232.316,26,Colton Herta,Gainbridge,Dallara/Honda,Contact,170,0,513000
24,2,233.917,12,Will Power,Verizon Business Team Penske,Dallara/Chevrolet,Contact,145,0,543000
25,19,231.89,98,Marco Andretti,MAPEI / Curb,Dallara/Honda,Contact,113,0,102000
26,12,230.567,23,Ryan Hunter-Reay,DRR-CUSICK MOTORSPORTS,Dallara/Chevrolet,Contact,107,0,102000
27,9,232.61,60,Felix Rosenqvist,AutoNation/SiriusXM,Dallara/Honda,Mechanical,55,0,514000
28,27,231.506,8,Linus Lundqvist,American Legion Chip Ganassi Racing,Dallara/Honda,Contact,27,0,508500
29,31,230.092,51,Katherine Legge,e.l.f. Cosmetics,Dallara/Honda,Mechanical,22,0,158800
30,16,232.183,11,Marcus Armstrong,Ridgeline Lubricants Chip Ganassi Racing,Dallara/Honda,Mechanical,6,0,156300
31,25,231.578,66,Tom Blomqvist,AutoNation/Arctic Wolf,Dallara/Honda,Contact,0,0,156300
32,30,231.1,30,Pietro Fittipaldi,5-hour ENERGY,Dallara/Honda,Contact,0,0,507500
33,32,230.027,28,Marcus Ericsson,Delaware Life,Dallara/Honda,Contact,0,0,507500
