Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,6,231.378,10,Alex Palou,Chip Ganassi Racing,Dallara/Honda,168.883,200,14,3833500
2,7,231.599,4,David Malukas,A.J. Foyt Enterprises,Dallara/Chevrolet,168.864,200,2,667300
3,3,232.098,5,Pato O'Ward,Arrow McLaren,Dallara/Chevrolet,168.849,200,2,951000
4,5,231.987,60,Felix Rosenqvist,Meyer Shank Racing,Dallara/Honda,168.836,200,0,769500
5,15,231.593,14,Santino Ferrucci,A.J. Foyt Enterprises,Dallara/Chevrolet,168.803,200,0,707500
6,18,231.438,21,Christian Rasmussen,Ed Carpenter Racing,Dallara/Chevrolet,168.787,200,8,683000
7,8,231.36,7,Christian Lundgaard,Arrow McLaren,Dallara/Chevrolet,168.736,200,0,671000
8,11,231.725,76,Conor Daly,Juncos Hollinger Racing,Dallara/Chevrolet,168.672,200,13,682500
9,2,232.478,75,Takuma Sato,Rahal Letterman Lanigan Racing,Dallara/Honda,168.615,200,51,298500
10,22,230.978,6,Helio Castroneves,Meyer Shank Racing,Dallara/Honda,167.943,200,0,137000
11,16,231.575,30,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Dallara/Honda,167.904,200,17,663000
12,20,231.058,45,Louis Foster,Rahal Letterman Lanigan Racing,Dallara/Honda,167.89,200,0,673000
13,24,230.571,6,Nolan Siegel,Arrow McLaren,Dallara/Chevrolet,Contact,199,0,632000
14,27,230.192,26,Colton Herta,Andretti Global,Dallara/Honda,167.677,199,0,630500
15,14,231.633,33,Ed Carpenter,Ed Carpenter Racing,Dallara/Chevrolet,167.619,199,1,118500
16,33,232.144,12,Will Power,Team Penske,Dallara/Chevrolet,167.599,199,0,632500
17,28,229.863,15,Graham Rahal,Rahal Letterman Lanigan Racing,Dallara/Honda,167.143,199,0,607500
18,30,229.091,66,Marcus Armstrong,Meyer Shank Racing,Dallara/Honda,167.062,198,0,607500
19,26,230.348,24,Jack Harvey,Dreyer & Reinbold Racing / Cusick Motorsports,Dallara/Chevrolet,166.682,198,3,116500
20,4,232.052,9,Scott Dixon,Chip Ganassi Racing,Dallara/Honda,165.947,197,0,632500
21,25,230.363,23,Ryan Hunter-Reay,Dreyer & Reinbold Racing / Cusick Motorsports,Dallara/Chevrolet,Mechanical,171,48,274000
22,32,233.004,2,Josef Newgarden,Team Penske,Dallara/Chevrolet,Mechanical,135,0,657500
23,17,231.461,77,Sting Ray Robb,Juncos Hollinger Racing,Dallara/Chevrolet,Contact,91,0,607400
24,19,231.326,17,Kyle Larson,Arrow McLaren,Dallara/Chevrolet,Contact,91,0,102000
25,13,231.641,8,Kyffin Simpson,Chip Ganassi Racing,Dallara/Honda,Contact,91,0,607500
26,1,232.79,83,Robert Shwartzman,PREMA Racing,Dallara/Chevrolet,Contact,87,8,327300
27,31,226.913,18,Rinus VeeKay,Dale Coyne Racing,Dallara/Honda,Contact,81,0,158800
28,12,231.701,20,Alexander Rossi,Ed Carpenter Racing,Dallara/Chevrolet,Mechanical,73,14,634000
29,29,229.741,98,Marco Andretti,Andretti Global,Dallara/Honda,Contact,4,0,102000
30,10,233.013,3,Scott McLaughlin,Team Penske,Dallara/Chevrolet,Contact,0,0,607500
31,9,231.014,28,Marcus Ericsson,Andretti Global,Dallara/Honda,168.872,200,17,610500
32,23,230.917,27,Kyle Kirkwood,Andretti Global,Dallara/Honda,168.819,200,2,607500
33,21,230.993,90,Callum Ilott,PREMA Racing,Dallara/Chevrolet,168.544,200,0,155300
