Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,3,230.725,30,Takuma Sato,Panasonic / PeopleReady,Dallara/Honda,157.824,200,27,1370500
2,2,231.051,9,Scott Dixon,PNC Bank Chip Ganassi Racing,Dallara/Honda,157.823,200,111,505000
3,8,229.38,15,Graham Rahal,United Rentals,Dallara/Honda,157.823,200,0,403500
4,19,229.924,18,Santino Ferrucci,SealMaster,Dallara/Honda,157.819,200,1,300000
5,13,230.296,1,Josef Newgarden,Shell V-Power Nitro Team Penske,Dallara/Chevrolet,157.801,200,0,251000
6,15,230.213,5,Patricio O'Ward,Arrow McLaren SP,Dallara/Chevrolet,157.779,200,0,250500
7,6,229.87,29,James Hinchcliffe,Genesys,Dallara/Honda,157.765,200,1,100000
8,10,230.775,88,Colton Herta,Gleaners Food Bank of Indiana,Dallara/Honda,157.752,200,1,200500
9,20,229.861,60,Jack Harvey,AutoNation/SiriusXM,Dallara/Honda,157.73,200,0,200000
10,5,230.648,28,Ryan Hunter-Reay,DHL,Dallara/Honda,157.714,200,0,200000
11,28,228.373,3,Helio Castroneves,Pennzoil Team Penske,Dallara/Chevrolet,157.682,200,0,100000
12,14,230.254,10,Felix Rosenqvist,NTT DATA Chip Ganassi Racing,Dallara/Honda,157.631,200,8,200000
13,1,231.068,98,Marco Andretti,U.S. Concrete / Curb,Dallara/Honda,157.602,200,0,300000
14,22,229.701,12,Will Power,Verizon 5G Edge Team Penske,Dallara/Chevrolet,157.581,200,2,200000
15,17,229.961,26,Zach Veach,Gainbridge,Dallara/Honda,157.556,200,14,200000
16,32,226.341,67,JR Hildebrand,DRR Salesforce,Dallara/Chevrolet,157.545,200,0,100000
17,30,227.303,59,Max Chilton,Gallagher Carlin,Dallara/Chevrolet,157.527,200,0,200000
18,29,227.758,4,Charlie Kimball,Tresiba/AJ Foyt Racing,Dallara/Chevrolet,157.483,200,0,200000
19,23,229.154,14,Tony Kanaan,ABC Supply / AJ Foyt Racing,Dallara/Chevrolet,157.024,199,0,200000
20,4,230.704,21,Rinus VeeKay,SONAX,Dallara/Chevrolet,156.918,199,0,210000
21,26,228.768,66,Fernando Alonso,Ruoff Arrow McLaren SP,Dallara/Chevrolet,156.732,199,0,100000
22,25,228.836,22,Simon Pagenaud,Menards Team Penske,Dallara/Chevrolet,156.089,198,14,210000
23,33,222.917,81,Ben Hanley,DragonSpeed USA,Dallara/Chevrolet,156.062,198,0,100000
24,31,227.099,24,Sage Karam,DRR WIX Filters,Dallara/Chevrolet,155.992,198,0,100000
25,12,230.539,45,Spencer Pigot,Hy-Vee / Embrace Pittsburgh,Dallara/Honda,Contact,194,0,100000
26,16,230.211,20,Ed Carpenter,United States Space Force,Dallara/Chevrolet,147.274,187,0,200000
27,9,229.234,27,Alexander Rossi,NAPA Auto Parts / AutoNation,Dallara/Honda,Contact,143,17,200000
28,7,229.676,55,Alex Palou,Guaranteed Rate,Dallara/Honda,Contact,121,0,200500
29,18,229.955,47,Conor Daly,United States Air Force,Dallara/Chevrolet,Contact,91,0,100000
30,21,229.76,7,Oliver Askew,Arrow McLaren SP,Dallara/Chevrolet,Contact,91,4,200500
31,24,228.88,41,Dalton Kellett,K-Line USA / AJ Foyt Racing,Dallara/Chevrolet,Contact,82,0,100500
32,11,230.566,8,Marcus Ericsson,Huski Chocolate Chip Ganassi Racing,Dallara/Honda,Contact,24,0,100000
33,27,228.747,51,James Davison,Jacob Construction / Tilson HR,Dallara/Honda,Mechanical,4,0,100000
