Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,8,230.355,6,Helio Castroneves,AutoNation/SiriusXM,Dallara/Honda,190.69,200,20,1828305
2,6,230.616,10,Alex Palou,NTT DATA Chip Ganassi Racing,Dallara/Honda,190.68,200,35,649305
3,26,229.778,22,Simon Pagenaud,Menards Team Penske,Dallara/Chevrolet,190.679,200,3,403305
4,12,230.864,5,Patricio O'Ward,Arrow McLaren SP,Dallara/Chevrolet,190.671,200,17,343305
5,4,231.504,20,Ed Carpenter,SONAX,Dallara/Chevrolet,190.665,200,0,286305
6,23,229.949,45,Santino Ferrucci,Hy-Vee,Dallara/Honda,190.507,200,2,157305
7,31,229.156,24,Sage Karam,DRR - AES INDIANA,Dallara/Chevrolet,190.419,200,2,162305
8,3,231.511,21,Rinus VeeKay,Bitcoin,Dallara/Chevrolet,190.403,200,32,302805
9,24,229.891,86,Juan Pablo Montoya,Arrow McLaren SP,Dallara/Chevrolet,190.39,200,0,135305
10,5,231.032,48,Tony Kanaan,The American Legion,Dallara/Honda,190.379,200,0,130305
11,9,230.318,8,Marcus Ericsson,Huski Chocolate Chip Ganassi Racing,Dallara/Honda,190.357,200,0,225305
12,21,230.071,2,Josef Newgarden,Shell Fuel Rewards Team Penske,Dallara/Chevrolet,190.241,200,0,220305
13,19,230.427,47,Conor Daly,U.S. Air Force,Dallara/Chevrolet,190.233,200,40,212305
14,15,230.708,30,Takuma Sato,Panasonic / PeopleReady,Dallara/Honda,190.221,200,7,222305
15,22,229.98,1,JR Hildebrand,ABC Supply / AJ Foyt Racing,Dallara/Chevrolet,190.216,200,0,110305
16,2,231.655,26,Colton Herta,Gainbridge,Dallara/Honda,190.11,200,13,252305
17,1,231.685,9,Scott Dixon,PNC Bank Grow Up Great,Dallara/Honda,189.913,200,7,316205
18,20,230.191,60,Jack Harvey,AutoNation/SiriusXM,Dallara/Honda,189.883,200,0,200305
19,25,229.872,98,Marco Andretti,Gleaners Food Bank of Indiana,Dallara/Honda,189.879,200,0,100305
20,17,230.557,3,Scott McLaughlin,Pennzoil Team Penske,Dallara/Chevrolet,189.869,200,0,151305
21,16,230.563,29,James Hinchcliffe,Genesys,Dallara/Honda,189.869,200,0,200305
22,7,230.499,28,Ryan Hunter-Reay,DHL,Dallara/Honda,189.854,200,0,200305
23,30,228.323,4,Dalton Kellett,K-Line Insulators / AJ Foyt Racing,Dallara/Chevrolet,189.612,199,0,200305
24,29,229.417,59,Max Chilton,Carlin,Dallara/Chevrolet,189.417,199,0,200305
25,13,230.846,51,Pietro Fittipaldi,Military Salutes NURTEC ODT,Dallara/Honda,189.308,199,0,210305
26,27,229.744,14,Sebastien Bourdais,ROKiT / AJ Foyt Racing,Dallara/Chevrolet,189.229,199,0,200305
27,14,230.744,7,Felix Rosenqvist,Arrow McLaren SP,Dallara/Chevrolet,189.213,199,14,214305
28,11,231.044,18,Ed Jones,SealMaster,Dallara/Honda,188.997,199,0,200305
29,10,231.046,27,Alexander Rossi,NAPA AUTO PARTS / AutoNation,Dallara/Honda,188.358,198,0,200305
30,32,228.876,12,Will Power,Verizon 5G Team Penske,Dallara/Chevrolet,187.554,197,0,200305
31,33,228.353,16,Simona de Silvestro,Rocket Pro TPO / Paretta Autosport,Dallara/Chevrolet,Contact,169,0,100305
32,18,230.521,15,Graham Rahal,United Rentals,Dallara/Honda,Contact,118,8,217305
33,28,229.714,25,Stefan Wilson,Lohla Sport,Dallara/Honda,Contact,32,0,100305
