Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,17,232.402,2,Josef Newgarden,Shell Powering Progress Team Penske,Dallara/Chevrolet,168.193,200,5,3666000
2,10,232.889,8,Marcus Ericsson,Huski Ice Spritz,Dallara/Honda,168.192,200,30,1043000
3,4,233.661,14,Santino Ferrucci,Homes For Our Troops,Dallara/Chevrolet,168.185,200,11,481800
4,1,234.217,10,Alex Palou,The American Legion,Dallara/Honda,168.181,200,36,801500
5,7,233.11,7,Alexander Rossi,Arrow McLaren,Dallara/Chevrolet,168.178,200,4,574000
6,6,233.151,9,Scott Dixon,PNC Bank Chip Ganassi Racing,Dallara/Honda,168.171,200,0,582000
7,8,233.098,11,Takuma Sato,Deloitte,Dallara/Honda,168.169,200,2,217300
8,16,232.433,20,Conor Daly,Bitnile.com,Dallara/Honda,168.164,200,0,512000
9,21,231.951,26,Colton Herta,Gainbridge,Dallara/Honda,168.159,200,1,506500
10,2,234.211,21,Rinus VeeKay,Bitnile.com,Dallara/Chevrolet,168.142,200,24,556500
11,18,232.133,23,Ryan Hunter-Reay,Dreyer & Reinbold Racing,Dallara/Chevrolet,168.14,200,8,145500
12,27,231.182,77,Callum Ilott,Juncos Hollinger Racing,Dallara/Chevrolet,168.13,200,5,495500
13,25,231.353,29,Devlin DeFrancesco,Sodexo,Dallara/Honda,168.119,200,0,482000
14,14,232.677,3,Scott McLaughlin,Pennzoil Team Penske,Dallara/Chevrolet,168.115,200,0,485000
15,20,231.954,6,Helio Castroneves,AutoNation/SiriusXM,Dallara/Honda,168.108,200,1,481500
16,9,233.076,66,Tony Kanaan,Arrow McLaren,Dallara/Chevrolet,168.104,200,0,105000
17,24,231.682,98,Marco Andretti,KULR / Curb,Dallara/Honda,168.052,200,0,102000
18,32,229.166,30,Jack Harvey,Kustom Entertainment,Dallara/Honda,167.221,199,0,472000
19,30,229.649,45,Christian Lundgaard,Hy-Vee,Dallara/Honda,166.375,198,0,467500
20,13,232.689,33,Ed Carpenter,Bitnile.com,Dallara/Chevrolet,Contact,197,0,102000
21,11,232.671,55,Benjamin Pedersen,AJ FOYT RACING / SEXTON PROPERTIES,Dallara/Chevrolet,Contact,196,0,215300
22,33,231.648,24,Graham Rahal,DRR Cusick CareKeepers,Dallara/Chevrolet,169.783,195,0,565500
23,12,232.635,12,Will Power,Verizon Team Penske,Dallara/Chevrolet,163.803,195,1,488000
24,5,233.158,5,Patricio O'Ward,Arrow McLaren,Dallara/Chevrolet,Contact,192,39,516500
25,22,231.878,60,Simon Pagenaud,AutoNation/SiriusXM,Dallara/Honda,Contact,192,0,465500
26,26,231.32,78,Agustin Canapino,Juncos Hollinger Racing,Dallara/Chevrolet,Contact,192,0,156300
27,3,234.114,6,Felix Rosenqvist,Arrow McLaren,Dallara/Chevrolet,Contact,183,33,278300
28,15,232.662,27,Kyle Kirkwood,AutoNation,Dallara/Honda,Contact,183,0,465500
29,23,231.769,18,David Malukas,HMD Trucking,Dallara/Honda,Contact,160,0,462000
30,19,231.997,28,Romain Grosjean,DHL,Dallara/Honda,Contact,149,0,462000
31,31,229.549,51,Sting Ray Robb,biohaven,Dallara/Honda,Contact,90,0,463000
32,28,231.129,50,RC Enerson,Abel Motorsports,Dallara/Chevrolet,Mechanical,75,0,103000
33,29,231.07,44,Katherine Legge,Hendrickson,Dallara/Honda,Contact,41,0,102000
